%time,field.data
1449190636924252865,1178026
1449190636991081750,269175
1449190637016465702,313997
1449190637066590789,367880
1449190637118825080,1004935
1449190637180150192,1012802
1449190637217861131,318050
1449190637294758614,1048803
1449190637329047049,807047
1449190637366664680,499010
1449190637422729345,263930
1449190637468761455,323057
1449190637553891268,1335860
1449190637566339499,324964
1449190637619283658,1058817
1449190637737346705,638962
1449190637738571442,830174
1449190637765716513,325918
1449190637827192205,1054048
1449190637877606991,300169
1449190637918236737,278949
1449190637965544705,288963
1449190638095475474,275851
1449190638098925071,1915932
1449190638124310135,339985
1449190638166780616,394822
1449190638230360764,1052856
1449190638269986190,1079083
1449190638353207102,268221
1449190638365457822,277042
1449190638419366348,1008987
1449190638470525645,1176834
1449190638516361359,421048
1449190638573317481,334024
1449190638634819431,6293059
1449190638672519475,313044
1449190638724098098,406027
1449190638779420491,1299143
1449190638934719564,550985
1449190638936347982,404119
1449190638937751231,496149
1449190638965523471,306844
1449190639022993626,1507997
1449190639066280132,303030
1449190639125712269,1212120
1449190639177641212,339031
1449190639216931679,293970
1449190639294058244,1131058
1449190639316877904,260114
1449190639367135129,291824
1449190639419013791,977039
1449190639526519633,363112
1449190639526534998,179052
1449190639565412005,269890
1449190639623825297,1700163
1449190639666306393,305891
1449190639720803544,1212835
1449190639770649823,1065016
1449190639896749923,1012087
1449190639897898394,356913
1449190639917431329,225067
1449190639969326750,1008988
1449190640017337321,648975
1449190640065758559,318050
1449190640116644354,351906
1449190640172245556,1792192
1449190640216135213,298977
1449190640270579841,1936197
1449190640319469295,761032
1449190640405896761,1021863
1449190640452827865,268936
1449190640465241173,229120
1449190640521173982,1242876
1449190640566536171,298977
1449190640621087518,1286984
1449190640736516714,440121
1449190640736531800,195027
1449190640767246037,329972
1449190640880315157,1122951
1449190640925418654,300884
1449190640926289714,333071
1449190640965619012,298976
1449190641095210626,1157999
1449190641098605192,430108
1449190641139495023,299931
1449190641168408475,406027
1449190641222965411,1331091
1449190641273431041,1219034
1449190641316850807,297785
1449190641393864503,1636982
1449190641416448381,321150
1449190641470407753,1420975
1449190641521472901,1100063
1449190641576301100,458002
1449190641618877180,312090
1449190641671463474,2074957
1449190641715855707,313997
1449190641822723752,1397848
1449190641887671683,408888
1449190641934497193,336886
1449190641936370056,437975
1449190641966310722,328064
1449190642023261816,1992941
1449190642074235055,3144026
1449190642117294439,374794
1449190642172192197,311851
1449190642219823949,1024008
1449190642286408389,1443863
1449190642322537003,293016
1449190642378156363,1949072
1449190642418013105,291109
1449190642466586596,294924
1449190642603747603,647068
1449190642604991895,634909
1449190642623938719,394106
1449190642672603004,504971
1449190642751185614,1029968
1449190642769969289,1055956
1449190642820600303,538111
1449190642894872594,1771927
1449190642915773295,301838
1449190642973482026,1541138
1449190643016020114,447035
1449190643065547638,288010
1449190643115510691,305176
1449190643171565861,1474142
1449190643256514360,434876
