%time,field.data
1449189030514032753,812054
1449189030515818175,416994
1449189030517973757,955105
1449189030537111946,228166
1449189030587319163,260115
1449189030649924049,900030
1449189030694262924,896931
1449189030756597386,1204014
1449189030795375494,411034
1449189030845398055,486851
1449189030887137996,234127
1449189030942953190,822067
1449189030996328687,244141
1449189031119891039,402927
1449189031119917858,315904
1449189031137937190,348091
1449189031196359421,274181
1449189031247998665,783921
1449189031415474134,302076
1449189031417172116,339985
1449189031419924703,468016
1449189031437559908,252962
1449189031490987926,846147
1449189031543075552,440121
1449189031649240437,243902
1449189031651330368,1359940
1449189031686951378,236988
1449189031758734243,391006
1449189031787405209,248909
1449189031896732232,367879
1449189031897789629,362873
1449189031937830472,283956
1449189031993688409,1705170
1449189032074532755,1378060
1449189032087749248,344991
1449189032142640860,771999
1449189032192976587,1268864
1449189032243382155,1292944
1449189032287427696,261068
1449189032434697528,866890
1449189032434709820,252009
1449189032437521911,487089
1449189032487575482,326872
1449189032544085735,1461983
1449189032594003533,1837015
1449189032643571844,1347065
1449189032687793665,264883
1449189032740819120,873089
1449189032853776772,234842
1449189032856994500,404119
1449189032887309246,246048
1449189032943923984,870943
1449189032988037691,407934
1449189033036797799,240087
1449189033119367785,276089
1449189033137490486,233173
1449189033187232001,236035
1449189033334557142,792981
1449189033336064040,341177
1449189033338032448,269175
1449189033387397944,246048
1449189033446446231,1940965
1449189033489006390,401974
1449189033538366295,363112
1449189033595053108,994921
1449189033648122701,1206874
1449189033693974618,1063108
1449189033815157054,245809
1449189033817780573,1250029
1449189033838308606,245094
1449189033893011926,1077890
1449189033994924881,909090
1449189033998095675,550985
1449189034038514498,290871
1449189034094857132,1866103
1449189034138120453,269889
1449189034190450009,357866
1449189034244083640,1546860
1449189034316767460,482082
1449189034403733822,473023
1449189034475243173,276089
1449189034478461465,605821
1449189034487680247,267029
1449189034544320961,924110
1449189034597085768,2948046
1449189034649121990,1772165
1449189034688901069,312090
1449189034773849854,899076
1449189034791314644,248909
1449189034842218599,848055
1449189034968843632,249862
1449189034970488533,422001
1449189034988170111,406980
1449189035045389392,1292944
1449189035087758746,281096
1449189035140692009,322103
1449189035203327902,241995
1449189035237545100,226974
1449189035304858960,259161
1449189035337423436,277996
1449189035393199520,863075
1449189035473880444,1116037
1449189035494746783,782013
1449189035537031489,227928
1449189035603145477,968218
1449189035643567933,282049
1449189035687232980,228882
1449189035737852542,309944
1449189035788061158,311851
1449189035976609134,239134
1449189035978664705,312805
1449189035980742905,294924
1449189035987041756,207186
1449189036047073964,1980066
1449189036093397451,1599074
1449189036137512275,252008
1449189036213610773,849963
1449189036244673940,560999
1449189036291404460,966072
1449189036576300952,395060
1449189036578523581,331879
1449189036628296703,285149
1449189036683460153,1163006
1449189036736793189,946999
1449189036779230425,324010
1449189036871809228,792981
1449189036994509967,304937
1449189036994531757,173092
1449189036994540976,169993
1449189037028354059,261069
1449189037086825662,1793146
1449189037128745238,272989
1449189037178656888,269889
1449189037356547393,356913
1449189037357931643,367880
1449189037360389770,722170
1449189037378062397,221968
1449189037433551575,1122952
1449189037488545995,3129959
1449189037535428210,1463890
1449189037586367646,802994
1449189037638125341,273943
1449189037689191048,3072977
1449189037776557181,272989
1449189037779889728,508070
1449189037828224922,231027
1449189037888862516,1532078
1449189037936868058,1656055
1449189037986699811,1343012
1449189038033702433,1941204
1449189038080748355,241042
1449189038129232171,209808
1449189038228605419,735999
1449189038315183178,513792
1449189038316953236,312805
1449189038329157023,225782
1449189038384341689,736952
1449189038456845876,1772881
1449189038481034985,252008
1449189038528257188,257015
1449189038612703391,771046
1449189038627889126,248909
1449189038733625468,844002
1449189038733644744,1679182
1449189038781323430,262022
1449189038838516451,1923799
1449189038890564687,1992941
1449189038932147627,1156807
1449189038983194337,757933
1449189039033179740,1364946
1449189039084673156,717878
1449189039128828210,254154
1449189039178399593,260115
1449189039239499538,895023
1449189039396475355,319004
1449189039398187025,412226
1449189039399528816,349045
1449189039428046405,262976
1449189039486442654,1350880
1449189039537669836,1822948
1449189039580317156,563860
1449189039628372985,262975
1449189039708290684,418901
1449189039730492108,422955
1449189039778500165,233889
1449189039838146852,2004147
1449189039879035010,365018
1449189039928475371,260115
1449189039984590045,1196146
1449189040036443004,1732826
1449189040085468230,1381874
1449189040129137746,370979
1449189040206677770,801087
1449189040356630330,6893158
1449189040358588963,868082
1449189040359404153,385046
1449189040378021057,221014
1449189040428159828,231028
1449189040515530705,890971
1449189040532840452,780106
1449189040586017601,247955
1449189040716853500,352860
1449189040718906555,324010
1449189040728648021,306845
1449189040783212217,918150
1449189040835470813,1744985
1449189040907238592,1948833
1449189040929446724,266075
1449189040978296787,276089
1449189041069178729,2650977
1449189041078547238,375986
1449189041197438882,416994
1449189041199077359,347138
1449189041230113986,474929
1449189041278244127,267982
1449189041339053253,1123905
1449189041378130845,218868
1449189041497443494,235080
1449189041497456625,265121
1449189041538728351,8709193
1449189041580856052,280142
1449189041674046667,913143
1449189041710265783,240087
1449189041728819551,244856
1449189041786750094,276089
1449189041837460731,1743079
1449189041886994680,1342058
1449189041932256579,1445055
1449189041981103288,1070023
1449189042099804129,346183
1449189042101111558,698089
1449189042129032424,225067
1449189042186714337,1354933
1449189042236502789,1770019
1449189042279402374,705004
1449189042328138737,260114
1449189042379396926,321149
1449189042449172554,464916
1449189042478821294,328064
1449189042538354838,881910
1449189042579314515,597954
1449189042629169734,247956
1449189042696480242,1345873
1449189042815764668,1704931
1449189042817766322,343800
1449189042828921102,367165
1449189042883977537,854015
1449189042936488680,2429962
1449189043046229163,1497030
1449189043046264642,1557112
1449189043079879809,259877
1449189043128347982,235081
1449189043184013716,815154
1449189043235432820,843048
1449189043356897140,419140
1449189043357708416,249148
1449189043377996469,219106
1449189043475756660,10930062
1449189043477904419,317096
1449189043529000019,247955
1449189043587413867,1496077
1449189043657728392,248909
1449189043696611265,268220
1449189043751106459,259877
1449189043778488710,514984
1449189043828153123,265122
1449189043889163391,1323939
1449189043936659094,2582073
1449189043984031594,2255917
1449189044030959066,1179933
1449189044084260814,312805
1449189044130544349,323057
1449189044184481652,1002074
1449189044284781830,274896
1449189044285032420,144959
1449189044352434841,253916
1449189044381025067,390053
1449189044427976007,236034
1449189044562893713,276089
1449189044565939631,144958
1449189044578785954,764847
1449189044628915510,311852
1449189044687281866,874996
1449189044831684021,523805
1449189044832924681,874043
1449189044833926763,216961
1449189044880601409,238895
1449189044934040603,1591921
1449189044981973510,755071
1449189045032832488,1202106
1449189045083735328,931025
1449189045157354183,447035
1449189045182200076,446081
1449189045229271422,315189
1449189045278237143,255823
1449189045396822884,380993
1449189045397493919,410080
1449189045432651459,286102
1449189045486459137,355006
1449189045530514178,322104
1449189045579095211,276089
1449189045628353149,274896
1449189045682566183,876188
1449189045856249152,249863
1449189045856267870,356913
1449189045856276809,163079
1449189045878525726,222922
1449189045928947498,234127
1449189045985346845,1405001
1449189046029311092,262022
1449189046082824596,823975
1449189046151864937,232935
1449189046179834133,268936
1449189046228527192,301123
1449189046283264875,1513005
1449189046330789352,457048
1449189046462832397,488997
1449189046462853070,433922
1449189046478104442,300885
1449189046528106609,242948
1449189046585701079,1341820
1449189046630940628,775099
1449189046714719433,1802206
1449189046728180360,261068
1449189046782986768,895977
1449189046895406086,203132
1449189046898598111,452042
1449189046928217238,277996
1449189046986908774,1368046
1449189047029864794,445843
1449189047081761891,649930
1449189047130599103,751019
1449189047178785395,262022
1449189047254408695,914812
1449189047278834703,234127
1449189047364434409,1287937
1449189047378225548,348091
1449189047427939689,229835
1449189047484608063,809908
1449189047534693480,1782179
1449189047586320991,1096964
1449189047628859078,287055
1449189047683475238,1039982
1449189047734574749,1102924
1449189047890504901,818967
1449189047915906457,20442963
1449189047917656399,718832
1449189047929041644,339985
1449189047982379708,864029
1449189048036651688,1236916
1449189048096495047,444889
1449189048128526495,344992
1449189048186940621,1517057
1449189048238434317,1039982
1449189048279366056,355958
1449189048329863257,361919
1449189048418718684,241995
1449189048452700656,247956
1449189048479485625,280857
1449189048575334393,3788949
1449189048578665825,336170
1449189048628186366,235081
1449189048686494616,1498937
1449189048729958239,422001
1449189048779325687,431061
1449189048837757416,238896
1449189048889614287,283003
1449189048928872628,296116
1449189048994285411,332833
1449189049029692984,335931
1449189049173432478,813962
1449189049176324188,538111
1449189049178359643,476122
1449189049228836730,228882
1449189049287170680,1161098
1449189049335776577,1310110
1449189049380022985,285149
1449189049428830304,283957
1449189049552780681,792980
1449189049554728976,365973
1449189049594503036,234842
1449189049628468805,265837
1449189049685297535,1442910
1449189049732296526,1348018
1449189049779025369,427962
1449189049842587914,241042
1449189049881602371,248909
1449189049928706684,265121
1449189050015481400,354051
1449189050028904336,644922
1449189050078608977,279903
1449189050129341962,250101
1449189050178441497,262022
1449189050236255828,844001
1449189050290316330,1016140
1449189050331419320,266075
1449189050385484013,1021146
1449189050476576875,434876
1449189050487726617,324965
1449189050543734852,257015
1449189050579921853,312090
1449189050635127751,2078056
1449189050688717524,1192093
1449189050733902318,1463890
1449189050779794742,313997
1449189050854527984,889062
1449189050877893802,227928
1449189050955075675,4388094
1449189050987502424,262022
1449189051035669163,242234
1449189051078291618,262975
